id,Sequence,n_bins,eps,alpha,sigma,n_frames,n_failures,time,error
520,hand,15,1e-10,0.01,0.1,268,14,3.422346,0
521,hand,15,1e-10,0.01,0.2,268,14,3.527449,0
522,hand,15,1e-10,0.01,0.4,0,0,0,1
523,hand,15,1e-07,0,0.1,268,14,2.850261,0
524,hand,15,1e-07,0,0.2,268,14,2.681361,0
525,hand,15,1e-07,0,0.4,268,14,2.721566,0
526,hand,15,1e-07,0.001,0.1,268,14,2.853955,0
527,hand,15,1e-07,0.001,0.2,268,13,2.834857,0
528,hand,15,1e-07,0.001,0.4,0,0,0,1
529,hand,15,1e-07,0.01,0.1,268,14,2.953736,0
530,hand,15,1e-07,0.01,0.2,268,13,2.897699,0
531,hand,15,1e-07,0.01,0.4,0,0,0,1
532,hand,15,0.0001,0,0.1,268,14,3.412194,0
533,hand,15,0.0001,0,0.2,268,14,3.041349,0
534,hand,15,0.0001,0,0.4,268,14,2.852331,0
535,hand,15,0.0001,0.001,0.1,268,14,2.909076,0
536,hand,15,0.0001,0.001,0.2,268,13,3.194371,0
537,hand,15,0.0001,0.001,0.4,0,0,0,1
538,hand,15,0.0001,0.01,0.1,268,14,2.938626,0
539,hand,15,0.0001,0.01,0.2,268,13,2.708133,0
